Dimensions,HMS,HMCR,PAR,BW,MaxIter,ExecutionTime(s),Cores,Seed,BestFitness,ExecutionType
35,1000,0.9,0.3,0.01,1000000,18.2549,1,42,104.205,Sequential
35,1000,0.9,0.3,0.01,1000000,14.2537,1,42,104.205,Sequential
35,1000,0.9,0.3,0.01,1000000,15.9935,1,42,104.205,MPI
35,1000,0.9,0.3,0.01,1000000,16.3725,1,42,104.205,MPI
35,1000,0.9,0.3,0.01,1000000,16.9522,1,42,104.205,MPI
35,1000,0.9,0.3,0.01,1000000,15.0276,1,42,104.205,MPI
35,1000,0.9,0.3,0.01,1000000,19.1889,1,42,104.205,MPI
35,1000,0.9,0.3,0.01,1000000,7.76463,2,42,2645.36,MPI
35,1000,0.9,0.3,0.01,1000000,7.66128,2,42,2645.36,MPI
35,1000,0.9,0.3,0.01,1000000,8.42197,2,42,2645.36,MPI
35,1000,0.9,0.3,0.01,1000000,4.00683,4,42,331.378,MPI
35,1000,0.9,0.3,0.01,1000000,7.40249,2,42,2645.36,MPI
35,1000,0.9,0.3,0.01,1000000,4.12469,4,42,331.378,MPI
35,1000,0.9,0.3,0.01,1000000,2.27585,8,42,322.95,MPI
35,1000,0.9,0.3,0.01,1000000,4.19551,4,42,331.378,MPI
35,1000,0.9,0.3,0.01,1000000,2.37552,8,42,322.95,MPI
35,1000,0.9,0.3,0.01,1000000,3.71937,4,42,331.378,MPI
35,1000,0.9,0.3,0.01,1000000,9.52501,2,42,2645.36,MPI
35,1000,0.9,0.3,0.01,1000000,2.09733,16,42,5718.24,MPI
35,1000,0.9,0.3,0.01,1000000,2.42625,8,42,322.95,MPI
35,1000,0.9,0.3,0.01,1000000,2.33193,16,42,5718.24,MPI
35,1000,0.9,0.3,0.01,1000000,2.23677,8,42,322.95,MPI
35,1000,0.9,0.3,0.01,1000000,2.3849,16,42,5718.24,MPI
35,1000,0.9,0.3,0.01,1000000,3.32069,32,42,70759.5,MPI
35,1000,0.9,0.3,0.01,1000000,2.36703,16,42,5718.24,MPI
35,1000,0.9,0.3,0.01,1000000,4.96073,4,42,331.378,MPI
35,1000,0.9,0.3,0.01,1000000,4.69315,32,42,70759.5,MPI
35,1000,0.9,0.3,0.01,1000000,3.4002,64,42,70759.5,MPI
35,1000,0.9,0.3,0.01,1000000,3.85684,32,42,70759.5,MPI
35,1000,0.9,0.3,0.01,1000000,2.76855,8,42,322.95,MPI
35,1000,0.9,0.3,0.01,1000000,4.50814,32,42,70759.5,MPI
35,1000,0.9,0.3,0.01,1000000,4.21694,64,42,70759.5,MPI
35,1000,0.9,0.3,0.01,1000000,2.77465,16,42,5718.24,MPI
35,1000,0.9,0.3,0.01,1000000,5.53269,64,42,70759.5,MPI
35,1000,0.9,0.3,0.01,1000000,5.06355,32,42,70759.5,MPI
35,1000,0.9,0.3,0.01,1000000,8.54721,64,42,70759.5,MPI
35,1000,0.9,0.3,0.01,1000000,6.87521,64,42,70759.5,MPI
35,1000,0.9,0.3,0.01,10000000,139.626,1,42,30.9214,Sequential
35,1000,0.9,0.3,0.01,10000000,146.312,1,42,30.9214,Sequential
35,1000,0.9,0.3,0.01,10000000,149.592,1,42,30.9214,Sequential
35,1000,0.9,0.3,0.01,10000000,155.285,1,42,30.9214,Sequential
35,1000,0.9,0.3,0.01,10000000,178.423,1,42,30.9214,Sequential
35,1000,0.9,0.3,0.01,10000000,142.242,1,42,30.9214,MPI
35,1000,0.9,0.3,0.01,10000000,154.967,1,42,30.9214,MPI
35,1000,0.9,0.3,0.01,10000000,152.247,1,42,30.9214,MPI
35,1000,0.9,0.3,0.01,10000000,160.293,1,42,30.9214,MPI
35,1000,0.9,0.3,0.01,10000000,182.162,1,42,30.9214,MPI
